EmailID,Sender,message
101,Bob,I’m happy with our progress.
102,Charlie,I’m happy with our progress.
103,Charlie,This task is overwhelming.
104,Alice,I’m happy with our progress.
105,Charlie,Can we improve the workflow efficiency?
106,Alice,This task is overwhelming.
107,Charlie,Feeling motivated after the last meeting.
108,Bob,This task is overwhelming.
109,Charlie,I’m happy with our progress.
110,Alice,Can we improve the workflow efficiency?
111,Alice,Can we improve the workflow efficiency?
112,Bob,We should collaborate more often.
113,Charlie,Feeling motivated after the last meeting.
114,Charlie,I am stressed with the current deadline.
115,Bob,I am stressed with the current deadline.
116,Charlie,This task is overwhelming.
117,Charlie,We should collaborate more often.
118,Alice,"Great job team, we nailed it!"
119,Charlie,This task is overwhelming.
120,Charlie,We should collaborate more often.
121,Bob,Feeling motivated after the last meeting.
122,Bob,Feeling motivated after the last meeting.
123,Alice,Feeling motivated after the last meeting.
124,Charlie,Feeling motivated after the last meeting.
125,Charlie,Feeling motivated after the last meeting.
126,Charlie,We should collaborate more often.
127,Alice,We should collaborate more often.
128,Alice,Can we improve the workflow efficiency?
129,Bob,I am stressed with the current deadline.
130,Alice,I’m happy with our progress.
